id,title,genres,keywords,overview,vote_average,vote_count,release_date,runtime,top_cast,director,movieId,imdbId,tmdbId
1452,Superman Returns,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']","['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",5.4,1400,2006-06-28,154.0,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",Bryan Singer,46530,348150,1452
10764,Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']","['killing', 'undercover', 'secret agent', 'british secret service']","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",6.1,2965,2008-10-30,106.0,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",Marc Forster,63113,830515,10764
58,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']","['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",7.0,5246,2006-06-20,151.0,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",Gore Verbinski,45722,383574,58
57201,The Lone Ranger,"['Action', 'Adventure', 'Western']","['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']","The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",5.9,2311,2013-07-03,149.0,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",Gore Verbinski,103384,1210819,57201
49521,Man of Steel,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",6.5,6359,2013-06-12,143.0,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",Zack Snyder,103042,770828,49521
2454,The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']","['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']","One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",6.3,1630,2008-05-15,150.0,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",Andrew Adamson,59501,499448,2454
24428,The Avengers,"['Science Fiction', 'Action', 'Adventure']","['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.4,11776,2012-04-25,143.0,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",Joss Whedon,89745,848228,24428
1865,Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']","['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",6.4,4948,2011-05-14,136.0,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",Rob Marshall,86880,1298650,1865
41154,Men in Black 3,"['Action', 'Comedy', 'Science Fiction']","['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']","Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",6.2,4160,2012-05-23,106.0,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",Barry Sonnenfeld,94777,1409024,41154
122917,The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",7.1,4760,2014-12-10,144.0,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",Peter Jackson,118696,2310332,122917
1930,The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']","['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",6.5,6586,2012-06-27,136.0,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",Marc Webb,95510,948470,1930
20662,Robin Hood,"['Action', 'Adventure']","['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",6.2,1398,2010-05-12,140.0,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",Ridley Scott,77866,955308,20662
57158,The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",7.6,4524,2013-12-11,161.0,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",Peter Jackson,106489,1170358,57158
2268,The Golden Compass,"['Adventure', 'Fantasy']","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",5.8,1303,2007-12-04,113.0,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",Chris Weitz,56171,385752,2268
254,King Kong,"['Adventure', 'Drama', 'Action']","['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",6.6,2337,2005-12-14,187.0,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",Peter Jackson,41569,360717,254
597,Titanic,"['Drama', 'Romance', 'Thriller']","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",7.5,7562,1997-11-18,194.0,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",James Cameron,1721,120338,597
271110,Captain America: Civil War,"['Adventure', 'Action', 'Science Fiction']","['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",7.1,7241,2016-04-27,147.0,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",Anthony Russo,122920,3498820,271110
44833,Battleship,"['Thriller', 'Action', 'Adventure', 'Science Fiction']","['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']","When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",5.5,2114,2012-04-11,131.0,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",Peter Berg,94018,1440129,44833
135397,Jurassic World,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",6.5,8662,2015-06-09,124.0,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",Colin Trevorrow,117529,369610,135397
37724,Skyfall,"['Action', 'Adventure', 'Thriller']","['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",6.9,7604,2012-10-25,143.0,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",Sam Mendes,96079,1074638,37724
558,Spider-Man 2,"['Action', 'Adventure', 'Fantasy']","['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']","Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",6.7,4321,2004-06-25,127.0,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",Sam Raimi,8636,316654,558
68721,Iron Man 3,"['Action', 'Adventure', 'Science Fiction']","['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",6.8,8806,2013-04-18,130.0,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",Shane Black,102125,1300854,68721
12155,Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']","['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",6.4,4645,2010-03-03,108.0,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",Tim Burton,74789,1014759,12155
36668,X-Men: The Last Stand,"['Adventure', 'Action', 'Science Fiction', 'Thriller']","['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']","When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",6.3,3525,2006-05-24,104.0,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",Brett Ratner,45499,376994,36668
62211,Monsters University,"['Animation', 'Family']","['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']",A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,7.0,3528,2013-06-20,104.0,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",Dan Scanlon,103141,1453405,62211
8373,Transformers: Revenge of the Fallen,"['Science Fiction', 'Action', 'Adventure']","['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",6.0,3138,2009-06-19,150.0,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",Michael Bay,69526,1055369,8373
91314,Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']","['sequel', 'alien', 'transformers', 'giant robot', 'robot', 'imax', 'transforming robot']","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",5.8,3095,2014-06-25,165.0,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",Michael Bay,112370,2109248,91314
68728,Oz: The Great and Powerful,"['Fantasy', 'Adventure', 'Family']","['circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magic trick', 'wizard', '3d']","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",5.7,3530,2013-03-07,130.0,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",Sam Raimi,101112,1623205,68728
102382,The Amazing Spider-Man 2,"['Action', 'Adventure', 'Fantasy']","['obsession', 'marvel comic', 'sequel', 'based on comic book', 'electrocution', 'medical experiment', 'electricity', 'super powers']","For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",6.5,4179,2014-04-16,142.0,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",Marc Webb,110553,1872181,102382
20526,TRON: Legacy,"['Adventure', 'Action', 'Science Fiction']","['artificial intelligence', 'secret identity', 'computer program', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neon light', 'autocracy']","Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",6.3,2841,2010-12-10,125.0,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",Joseph Kosinski,82461,1104001,20526
49013,Cars 2,"['Animation', 'Family', 'Adventure', 'Comedy']","['car race', 'sequel', 'comedy', 'anthropomorphism', 'best friend', 'duringcreditsstinger']",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,5.8,2033,2011-06-11,106.0,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']",John Lasseter,87876,1216475,49013
44912,Green Lantern,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['dc comics', 'transformation', 'superhero', 'alien', 'alien infection', 'magical object', 'protector', 'super powers', 'origin', '3d']","For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",5.1,2487,2011-06-16,114.0,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",Martin Campbell,87430,1133985,44912
10193,Toy Story 3,"['Animation', 'Family', 'Comedy']","['hostage', 'college', 'toy', 'barbie', 'animation', 'escape', 'day care', 'teddy bear', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects coming to life', 'toy story']","Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",7.6,4597,2010-06-16,103.0,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']",Lee Unkrich,78499,435761,10193
534,Terminator Salvation,"['Action', 'Science Fiction', 'Thriller']","['saving the world', 'artificial intelligence', 'prophecy', 'san francisco', 'cyborg', 'killer robot', 'gas station', 'post-apocalyptic', 'dystopia', 'army', 'firearm', 'wartime', 'los angeles']","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",5.9,2463,2009-05-20,115.0,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",McG,68791,438488,534
168259,Furious 7,['Action'],"['car race', 'speed', 'revenge', 'suspense', 'car', 'race', 'muscle car']",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,7.3,4176,2015-04-01,137.0,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",James Wan,130634,2820852,168259
72190,World War Z,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","['dystopia', 'apocalypse', 'zombie', 'nuclear weapons', 'multiple perspectives', 'zombie apocalypse']","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",6.7,5560,2013-06-20,116.0,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']",Marc Forster,103249,816711,72190
127585,X-Men: Days of Future Past,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['1970s', 'mutant', 'time travel', 'marvel comic', 'based on comic book', 'superhuman', 'storm', 'beast', 'aftercreditsstinger', 'changing the past or future']",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,7.5,6032,2014-05-15,131.0,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",Bryan Singer,111362,1877832,127585
